recording_id,species_id,kfold
afa49cbeb,9,0
cbc07e2ec,12,0
5a3f09a5c,10,0
6666e213d,4,0
a79847d38,13,0
1795728ba,5,0
73c4d8db8,17,0
0cb4632d6,13,0
fa9353c0a,23,0
b80bfc8f2,17,0
abed3437e,0,0
147b41b13,7,0
87bf9c992,19,0
addfd4f67,4,0
cc8d81b6a,21,0
cf44264e5,20,0
9fbd7e1f6,13,0
d817ed6ad,5,0
e42155880,18,0
5c609dbfb,18,0
163e86660,3,0
408fcd1dc,23,0
e755e15ec,1,0
22050fe3f,19,0
22a2faf44,13,0
09315d9bf,22,0
39c15e092,10,0
408314767,20,0
3c621e663,17,0
157a50231,0,0
184322f0e,22,0
617d4dbbd,12,0
c3ed6269b,2,0
74a117970,20,0
bc18e6dba,21,0
04d6b1fc1,17,0
d96242159,13,0
ea961733c,13,0
6346c01fa,18,0
87b2981de,18,0
3ca3a1b6a,21,0
57b4ff4be,7,0
c8bed66bb,10,0
2695a2878,23,0
c3843eb33,0,0
fc6609050,0,0
14d467153,8,0
7878d8306,17,0
b55d2f7b4,7,0
a2045d15d,22,0
4fb946872,6,0
6c032e356,23,0
2a1bb0557,14,0
51319c540,10,0
b45319264,12,0
119b154cc,15,0
dbd243625,15,0
ed2f84e75,22,0
2bcddf9a5,3,0
774d13e9c,9,0
c892aa78d,14,0
e393a4c21,23,0
0b3ef9c4e,6,0
5db2e86fe,7,0
fd7cc65e1,5,0
dd46cb7e9,21,0
489ecb611,3,0
796ab9da1,15,0
61741251f,10,0
81b493ca3,4,0
73f2ff0fd,3,0
49b80ec61,16,0
477119234,6,0
581d07559,3,0
89fe494b6,22,0
4c845907b,12,0
352056163,13,0
989b95591,18,0
a5034a8b3,4,0
1bd29a4bb,10,0
42a7c4f08,14,0
05b9c974c,2,0
2ef429016,4,0
edf598655,6,0
9b92a698e,9,0
cf739c61d,10,0
a4b2f4298,8,0
2dacf9479,21,0
25218b040,8,0
42ea7a091,18,0
4b3e0b984,0,0
acb80ff69,16,0
4a7fe1b31,17,0
1f2260885,11,0
7859fda05,23,0
55dca9c85,23,0
37d16f30f,10,0
4afa51495,10,0
db7d1bf42,23,0
51cb253b0,7,0
9ca91d4bc,13,0
01b41f92b,6,0
534b6a4a0,3,0
4ef096b89,23,0
9c8947073,0,0
2bb539997,7,0
69aacafc4,20,0
8f3d579c8,17,0
cd1d48eec,15,0
5280a7fe9,3,0
e22487d26,10,0
7b4ee85a5,1,0
944edda33,2,0
dfa6a4a64,10,1
958db1ebe,19,0
af0113159,14,0
b4110d8aa,1,0
e25933b0a,0,0
0ab6aa734,9,0
1702d35a0,22,0
0e29d05ed,15,0
2d50db2b1,11,0
ab383c341,1,0
b1c09c89b,14,0
916eb2a00,22,0
41e6d9f63,16,0
5d61b5cce,8,0
ea7aa9e69,8,0
ccee900dd,20,0
787c0db92,4,0
56d22a5b3,18,0
750e35881,4,0
2d09eb065,19,0
bfacbc575,13,0
59e549ee2,5,0
13f64f898,1,0
6a0ac2d09,23,0
606f1e495,5,0
d14c92027,5,0
59a9eb657,23,0
422de4e4d,21,0
706e6f1e8,12,0
868db1d19,23,0
5c1ae8b6f,0,0
12ec1d4cb,9,0
dd0830c83,1,0
1ef3e2282,16,0
30cd416ed,13,0
818a1635a,21,0
356b93991,18,0
473cac467,11,0
1f5dd26db,8,0
61de2c695,0,0
41829d963,2,0
dcf4ecca1,6,0
1f0fe1c7e,22,0
e1582bf8b,11,0
69ea6d76b,19,0
7f8fab554,4,0
d1debe396,6,0
b01abd3b2,9,0
5debe8941,19,0
7765e82d3,13,1
415cf2484,7,0
6c52da176,7,0
f152e26e3,8,0
7341161bd,17,0
81bcdeb06,20,0
bf58cd236,8,0
ec1c4a754,10,1
c7918c0f8,22,0
51f69a454,23,0
7583b7c0c,17,0
13511f7bd,1,0
3513db2b8,21,0
f2493eda1,8,0
d3324f1c0,21,0
c0786babe,0,0
619a7af56,15,0
a5eface9a,1,0
07d1687e0,8,0
057802c25,11,0
bffdcd085,22,1
1e469c124,15,0
0c48ed342,17,0
bf9f90405,2,0
459513f88,8,1
711630bd8,18,0
802907092,23,0
4e464ff6b,6,0
c9df2fecf,11,0
0099c367b,17,1
a3194950c,5,0
7478fd629,18,0
f5c3420f6,10,1
bb4fd3041,11,0
ae521f781,7,0
b7e2ef23f,2,0
447409a6b,0,1
ccda58237,7,0
7448edc55,1,0
0e034f968,2,1
983a13114,20,0
8b24f2f98,18,1
0eb2079ea,3,0
3c4cf66fd,13,1
ae210f726,3,0
8a59b5c31,5,0
160b70831,2,1
23adb9473,20,1
79f7b3873,15,0
5609ef334,19,0
3b0e345fc,9,0
b1d18170a,14,0
63cc4d598,13,1
2ec1b3167,13,1
541550e6c,3,1
bac502597,0,1
5e8c07a8e,22,1
4f600e6f7,11,0
ffb9a7b9a,18,1
b62292f65,21,0
0fc62dd3c,18,1
cb10cd9d9,13,1
100e4ddc9,2,1
77f2b9543,6,0
5e8e5d53b,8,1
0209f7ab2,7,1
55e48150a,11,0
a1b1a5e31,3,1
6d93f853d,17,1
d86155abb,1,0
77299bde7,8,1
a2a211fa8,19,0
dac7a83a3,10,1
b056e5bc2,6,1
281865590,0,1
a2441a74b,17,1
de3737c21,22,1
e6de52902,16,0
ef10f60bf,8,1
9369b4be6,9,1
c9bd1f599,23,0
4df50c66e,17,1
eb3145e54,5,0
ecd47f7cc,23,0
7ad715d6d,19,1
d53f58786,14,0
abd8cff8d,19,1
956aaf47c,23,0
807efd6bb,3,1
c5758ce2f,11,0
33d0f2685,16,0
5b5218aba,11,1
a1d96c821,18,1
007f87ba2,12,0
00d442df7,0,1
f2d7b8ed8,4,0
cfa0614e0,0,1
ea133d03e,19,1
2e698aba5,23,1
3fcca1372,17,1
cfdd68da2,19,1
bbd6815be,1,1
b4df5aef8,8,1
3d2b1c860,21,1
f7d3b0080,10,1
56ff074df,1,1
8eb0e591c,10,1
5d606b7a3,9,1
d32242280,23,1
44c8b5c73,12,0
373f470c4,11,1
0509303a5,6,1
74c1043c9,14,0
0a350d11c,19,1
16ffcf223,14,0
0c936a1d4,17,1
5b8830884,8,1
2e40b2294,0,1
19dfeda02,6,1
697f7210b,8,1
4fae9a4ea,13,1
58b92fcdc,5,1
11bafff5d,23,1
9c9aa37f5,6,1
da329b0a5,14,0
47f2eb3b8,14,1
e1a046050,14,1
65123f0c1,23,1
69173294f,22,1
48fb5143f,20,1
556cb3c93,21,1
b6b2bb1cd,6,1
778ab401f,21,1
a38cadf2c,10,1
cf8fbc4f1,5,1
83028db30,11,1
ca99623ca,10,1
7e370f1f3,14,1
0e2e4ac19,2,1
a66546dfd,19,1
1520a52ef,13,1
a92850ccd,2,1
aedfcfe60,3,1
b89bd05a1,14,1
3f3c49ad2,10,1
e8b209030,14,1
755d6c7eb,17,1
d82d5792e,15,0
27c146a88,17,1
ab900ff48,6,1
4b7da2fb5,7,1
17ca62c97,4,0
9367e95cc,15,1
be0356cf5,5,1
7893b8f70,0,1
eaf5cf482,8,1
b6ddaa9b4,4,1
e1c5ad99b,23,1
3853bba8e,9,1
8a0ee2e2c,8,1
7c858b1f2,20,1
804fa03e1,15,1
cf568dfc0,16,0
1eb2a9113,7,1
88186ba66,14,1
5cd1a3c29,12,0
d35473d24,11,1
daa57db65,2,1
9cb6ae5e3,0,1
9cb1f4a34,17,1
055d22517,10,1
23363116f,23,1
35844fa7f,6,1
4482bd512,12,0
4b406a1bc,4,1
a0c662123,0,1
bbd9ac366,18,1
96fc32e3d,23,1
725c5b6f1,8,2
ce05b264d,7,1
b441cf212,23,1
6b1093628,13,1
e71d72805,19,1
9e242fe66,16,0
9e5d5b03e,17,1
0f99800b7,11,1
590163609,5,1
6b0891684,0,1
efbfe6b39,14,1
5bf1ac192,23,1
368be0579,3,1
bd62d4fa2,23,1
45eabd218,23,1
